bodyPart,equipment,id,name,target,secondaryMuscles,instructions,description,difficulty,category,message
upper legs,barbell,0102,barbell squat (on knees),quads,"['glutes', 'hamstrings', 'calves']","['Start by kneeling on the ground with your knees hip-width apart and your toes pointing forward.', 'Place a barbell across your shoulders, gripping it with an overhand grip and your hands slightly wider than shoulder-width apart.', 'Engage your core and keep your chest lifted as you slowly lower your body down by bending your knees, keeping your back straight.', 'Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.', 'Pause for a moment at the bottom, then push through your heels to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell squat (on knees) is a variation of the traditional squat performed from a kneeling position. This exercise targets the quadriceps while also engaging the glutes, hamstrings, and calves. It requires good core stability and balance, as well as proper technique to safely handle the barbell.",Intermediate,strength,nan
waist,barbell,0103,barbell standing ab rollerout,abs,"['shoulders', 'lower back']","['Stand upright with your feet shoulder-width apart and hold the barbell with both hands in front of your thighs.', 'Engage your core and slowly roll the barbell down towards the ground, keeping your back straight and your arms extended.', 'Continue rolling the barbell forward until your body is fully extended and your hands are directly above your head.', 'Pause for a moment, then slowly roll the barbell back towards your thighs, maintaining control and keeping your core engaged.', 'Repeat for the desired number of repetitions.']","The barbell standing ab rollerout is an advanced core exercise that targets the abs, with secondary emphasis on the shoulders and lower back. It requires significant core strength, stability, and control to perform safely and effectively.",Intermediate,strength,nan
lower arms,barbell,0104,barbell standing back wrist curl,forearms,"['biceps', 'shoulders']","['Stand up straight with your feet shoulder-width apart and hold a barbell with an overhand grip.', 'Rest the barbell on the back of your hands with your palms facing down and your fingers pointing towards your body.', 'Keeping your upper arms stationary, exhale and curl your wrists upwards as far as possible.', 'Hold the contracted position for a brief pause, then inhale and slowly lower the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell standing back wrist curl is an isolation exercise targeting the forearms, specifically the wrist extensors. It involves curling the barbell upwards using only the wrists while standing.",Intermediate,strength,nan
shoulders,barbell,0105,barbell standing bradford press,delts,"['triceps', 'upper back']","['Stand with your feet shoulder-width apart and hold the barbell in front of your shoulders with an overhand grip.', 'Press the barbell overhead, fully extending your arms.', 'Lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell standing Bradford press is a shoulder exercise that targets the deltoids and also works the triceps and upper back. It involves pressing a barbell overhead from the front of the shoulders, requiring strength, coordination, and shoulder mobility.",Intermediate,strength,nan
upper arms,barbell,0106,barbell standing close grip curl,biceps,['forearms'],"['Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, hands close together.', 'Keep your elbows close to your torso and your upper arms stationary throughout the movement.', 'Exhale as you curl the weights while contracting your biceps. Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.', 'Hold the contracted position for a brief pause as you squeeze your biceps.', 'Inhale as you slowly begin to bring the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell standing close grip curl is a strength exercise that targets the biceps and also works the forearms. It involves curling a barbell with a close grip, emphasizing the inner part of the biceps.",Intermediate,strength,nan
shoulders,barbell,0107,barbell standing front raise over head,delts,"['triceps', 'upper back']","['Stand with your feet shoulder-width apart, holding a barbell in front of your thighs with an overhand grip.', 'Keep your back straight and engage your core.', 'Slowly raise the barbell in front of you, keeping your arms straight and your palms facing down.', 'Continue lifting until the barbell is slightly above shoulder level.', 'Pause for a moment at the top, then slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell standing front raise over head is a shoulder exercise that targets the deltoids, with secondary emphasis on the triceps and upper back. It involves lifting a barbell from thigh level to overhead while standing, requiring control and shoulder strength.",Intermediate,strength,nan
lower legs,barbell,0108,barbell standing leg calf raise,calves,"['hamstrings', 'glutes']","['Stand with your feet shoulder-width apart and place a barbell across your upper back.', 'Raise your heels off the ground as high as possible, using your calves.', 'Pause for a moment at the top, then slowly lower your heels back down to the starting position.', 'Repeat for the desired number of repetitions.']",The barbell standing leg calf raise is a strength exercise targeting the calves. It involves standing with a barbell across your upper back and raising your heels off the ground to engage the calf muscles.,Intermediate,strength,nan
upper arms,barbell,0109,barbell standing overhead triceps extension,triceps,['shoulders'],"['Stand with your feet shoulder-width apart and hold a barbell with an overhand grip.', 'Raise the barbell overhead, fully extending your arms.', 'Keeping your upper arms close to your head, slowly lower the barbell behind your head by bending your elbows.', 'Pause for a moment, then raise the barbell back to the starting position by extending your arms.', 'Repeat for the desired number of repetitions.']","The barbell standing overhead triceps extension is a strength exercise targeting the triceps, performed by holding a barbell overhead and lowering it behind the head before extending the arms to the starting position.",Intermediate,strength,nan
upper arms,barbell,0110,barbell standing reverse grip curl,biceps,['forearms'],"['Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up.', 'Keep your elbows close to your torso and your upper arms stationary.', 'Exhale and curl the weights while contracting your biceps, bringing the barbell as close to your shoulders as possible.', 'Hold the contracted position for a brief pause as you squeeze your biceps.', 'Inhale and slowly lower the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell standing reverse grip curl is an exercise targeting the biceps and forearms. It is performed by holding a barbell with an underhand grip, curling the weight up while keeping the elbows close to the torso, and then lowering it back down.",Intermediate,strength,nan
lower legs,barbell,0111,barbell standing rocking leg calf raise,calves,"['hamstrings', 'quadriceps']","['Stand with your feet shoulder-width apart and hold a barbell across your upper back.', 'Raise your heels off the ground as high as possible, balancing on the balls of your feet.', 'Slowly lower your heels back down to the starting position.', 'Repeat for the desired number of repetitions.']",The barbell standing rocking leg calf raise targets the calves and involves raising your heels while balancing a barbell across your upper back. This exercise also engages the hamstrings and quadriceps as secondary muscles.,Intermediate,strength,nan
waist,barbell,0112,barbell standing twist,abs,"['obliques', 'lower back']","['Stand with your feet shoulder-width apart and hold a barbell in front of your chest with both hands, palms facing down.', 'Engage your core and keep your back straight throughout the exercise.', 'Slowly twist your torso to the right, pivoting on your feet and hips, while keeping your lower body stable.', 'Pause for a moment at the end of the twist, then slowly return to the starting position.', 'Repeat the twist to the left side.', 'Continue alternating twists for the desired number of repetitions.']","The barbell standing twist is an exercise targeting the abdominal muscles, particularly the obliques and lower back, by rotating the torso while holding a barbell. It helps improve core strength and rotational stability.",Intermediate,strength,nan
upper arms,barbell,0113,barbell standing wide-grip curl,biceps,"['forearms', 'shoulders']","['Stand up straight with your feet shoulder-width apart and hold a barbell with an overhand grip, hands wider than shoulder-width apart.', ""Let the barbell hang at arm's length in front of your thighs, with your palms facing away from your body."", 'Keeping your upper arms stationary, exhale and curl the barbell upward by contracting your biceps.', 'Continue to raise the barbell until your biceps are fully contracted and the barbell is at shoulder level.', 'Hold the contracted position for a brief pause as you squeeze your biceps.', 'Inhale and slowly begin to lower the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']",The barbell standing wide-grip curl is a biceps-focused exercise performed with a barbell using a grip wider than shoulder-width. This variation emphasizes the outer part of the biceps and also engages the forearms and shoulders.,Intermediate,strength,nan
upper legs,barbell,0114,barbell step-up,glutes,"['quadriceps', 'hamstrings', 'calves']","['Stand in front of a bench or step with a barbell resting on your upper back.', 'Place one foot on the bench or step, ensuring your entire foot is in contact with the surface.', 'Push through your heel and step up onto the bench or step, fully extending your hip and knee.', 'Pause briefly at the top, then lower yourself back down to the starting position.', 'Repeat with the opposite leg.', 'Continue alternating legs for the desired number of repetitions.']","The barbell step-up is a compound lower body exercise that targets the glutes, quadriceps, and hamstrings by stepping onto a raised platform while holding a barbell on the upper back.",Intermediate,strength,nan
upper legs,barbell,0115,barbell stiff leg good morning,glutes,"['hamstrings', 'lower back']","['Stand with your feet shoulder-width apart and your knees slightly bent.', 'Hold the barbell across your upper back, resting it on your traps.', 'Keeping your back straight, hinge forward at the hips, pushing your glutes back.', 'Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings.', 'Engage your glutes and hamstrings to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell stiff leg good morning is a compound exercise that targets the glutes, hamstrings, and lower back. It involves hinging at the hips with a barbell across your upper back, emphasizing posterior chain strength and flexibility.",Intermediate,strength,nan
upper legs,barbell,0116,barbell straight leg deadlift,hamstrings,"['glutes', 'lower back']","['Stand with your feet shoulder-width apart and your toes pointing forward.', 'Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Bend at your hips and lower the barbell towards the ground, keeping your back straight and your knees slightly bent.', 'Lower the barbell until you feel a stretch in your hamstrings.', 'Engage your hamstrings and glutes to lift the barbell back up to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell straight leg deadlift is a compound exercise targeting the hamstrings, with secondary emphasis on the glutes and lower back. It requires maintaining a straight back and proper hip hinge to safely stretch and strengthen the posterior chain.",Intermediate,strength,nan
upper legs,barbell,0117,barbell sumo deadlift,glutes,"['hamstrings', 'quadriceps', 'lower back']","['Stand with your feet wider than shoulder-width apart, toes pointing outwards.', 'Place a barbell on the ground in front of you, centered between your feet.', 'Bend your knees and lower your hips, keeping your back straight and chest up, to grip the barbell with an overhand grip.', 'Engage your core and drive through your heels to lift the barbell off the ground, extending your hips and knees simultaneously.', 'As you lift, keep your chest up and back straight, and push your hips forward to fully engage your glutes.', 'Pause for a moment at the top, then slowly lower the barbell back down to the starting position, maintaining control throughout the movement.', 'Repeat for the desired number of repetitions.']","The barbell sumo deadlift is a compound strength exercise that targets the glutes, with significant involvement of the hamstrings, quadriceps, and lower back. It requires a wide stance and emphasizes hip and leg strength.",Intermediate,strength,nan
back,barbell,0118,barbell reverse grip bent over row,upper back,"['biceps', 'forearms']","['Stand with your feet shoulder-width apart and knees slightly bent.', 'Hold a barbell with an overhand grip, palms facing down, and hands slightly wider than shoulder-width apart.', 'Bend forward at the hips, keeping your back straight and chest up, until your torso is almost parallel to the floor.', 'Pull the barbell towards your lower chest, squeezing your shoulder blades together.', 'Pause for a moment at the top, then slowly lower the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell reverse grip bent over row is a compound exercise targeting the upper back, with secondary emphasis on the biceps and forearms. It involves pulling a barbell towards the lower chest while bent over, requiring good form and core stability.",Intermediate,strength,nan
shoulders,barbell,0119,barbell upright row v. 2,delts,"['traps', 'biceps']","['Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Let the barbell hang in front of your thighs, arms fully extended.', 'Keeping your back straight, exhale and lift the barbell straight up towards your chin, leading with your elbows.', 'Pause for a moment at the top, then inhale and slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell upright row v. 2 is a compound exercise targeting the deltoids, with secondary emphasis on the traps and biceps. It involves lifting a barbell from the thighs to the upper chest by leading with the elbows, requiring good form to avoid shoulder impingement.",Intermediate,strength,nan
shoulders,barbell,0120,barbell upright row,delts,"['traps', 'biceps']","['Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Let the barbell hang in front of your thighs, arms fully extended.', 'Keeping your back straight and core engaged, exhale and lift the barbell straight up towards your chin, leading with your elbows.', 'Pause for a moment at the top, then inhale and slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell upright row is a compound exercise that targets the deltoids and also works the traps and biceps. It involves lifting a barbell from the thighs to the upper chest, leading with the elbows.",Intermediate,strength,nan
shoulders,barbell,0121,barbell upright row v. 3,delts,"['traps', 'biceps']","['Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Let the barbell hang in front of your thighs, arms fully extended.', 'Keeping your core engaged and back straight, exhale as you lift the barbell straight up towards your chin, leading with your elbows.', 'Pause for a moment at the top, then inhale as you slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell upright row v. 3 is a compound exercise targeting the deltoids, with secondary emphasis on the traps and biceps. It involves lifting a barbell from thigh level to chin height, leading with the elbows.",Intermediate,strength,nan
chest,barbell,0122,barbell wide bench press,pectorals,"['shoulders', 'triceps']","['Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.', 'Grasp the barbell with a wide grip, slightly wider than shoulder-width apart.', 'Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.', 'Lower the barbell slowly towards your chest, keeping your elbows slightly flared out.', 'Pause for a moment when the barbell touches your chest, then push it back up to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell wide bench press is a compound strength exercise targeting the pectoral muscles, with secondary emphasis on the shoulders and triceps. It requires a barbell and a bench, and involves lowering the barbell to the chest with a wide grip before pressing it back up.",Intermediate,strength,nan
shoulders,barbell,0123,barbell wide-grip upright row,delts,"['traps', 'biceps']","['Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, hands wider than shoulder-width apart.', 'Let the barbell hang in front of your thighs, arms fully extended.', 'Keeping your back straight, exhale and lift the barbell straight up towards your chin, leading with your elbows.', 'Pause for a moment at the top, then inhale and slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell wide-grip upright row is a compound exercise targeting the deltoids, with secondary emphasis on the traps and biceps. It involves lifting a barbell with a wide grip from the thighs to the upper chest, focusing on leading with the elbows.",Intermediate,strength,nan
upper legs,barbell,0124,barbell wide squat,quads,"['glutes', 'hamstrings', 'calves']","['Stand with your feet wider than shoulder-width apart, toes pointing slightly outward.', 'Hold the barbell across your upper back, resting it on your traps or rear delts.', 'Engage your core and keep your chest up as you lower your body down into a squat, pushing your hips back and bending your knees.', 'Lower until your thighs are parallel to the ground, or as low as you can comfortably go.', 'Pause for a moment at the bottom, then push through your heels to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell wide squat is a compound lower body exercise that targets the quadriceps, with secondary emphasis on the glutes, hamstrings, and calves. It involves holding a barbell across the upper back and performing a squat with a wide stance.",Intermediate,strength,nan
lower arms,barbell,0125,barbell wrist curl v. 2,forearms,"['biceps', 'brachialis']","['Sit on a bench with your feet flat on the ground and your knees bent.', 'Hold a barbell with an underhand grip, palms facing up, and your hands shoulder-width apart.', 'Rest your forearms on your thighs, allowing your wrists to hang off the edge.', 'Slowly curl your wrists upward, bringing the barbell towards your forearms.', 'Pause for a moment at the top, then slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell wrist curl v. 2 is an isolation exercise that targets the forearm muscles, specifically the wrist flexors. It is performed seated, with the forearms resting on the thighs and the wrists hanging off the edge, curling a barbell upward using only the wrists.",Intermediate,strength,nan
lower arms,barbell,0126,barbell wrist curl,forearms,"['biceps', 'brachialis']","['Sit on a bench with your feet flat on the ground and your forearms resting on your thighs, holding a barbell with an underhand grip.', 'Allow the barbell to roll down to your fingertips, keeping your wrists straight.', 'Slowly curl the barbell up towards your forearms by flexing your wrists.', 'Pause for a moment at the top, then slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell wrist curl is an isolation exercise targeting the forearm muscles, particularly the wrist flexors. It is performed seated, with the forearms resting on the thighs and the wrists curling a barbell upward.",Intermediate,strength,nan
upper legs,barbell,0127,barbell zercher squat,glutes,"['quadriceps', 'hamstrings', 'calves', 'core']","['Stand with your feet shoulder-width apart and toes slightly turned out.', 'Hold the barbell in the crooks of your elbows, with your hands gripping the bar for stability.', 'Engage your core and keep your chest lifted as you lower your hips back and down into a squat position.', 'Keep your knees in line with your toes and your weight in your heels.', 'Pause for a moment at the bottom of the squat, then push through your heels to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell Zercher squat is a lower body exercise where the barbell is held in the crooks of the elbows, emphasizing the glutes, quadriceps, hamstrings, calves, and core. It requires significant core stability, upper body strength, and proper squat mechanics.",Intermediate,strength,nan
shoulders,rope,0128,battling ropes,delts,"['forearms', 'core']","['Stand with your feet shoulder-width apart and knees slightly bent.', 'Hold one end of the rope in each hand, with your palms facing each other.', 'Raise your arms to shoulder height, keeping your elbows slightly bent.', 'Begin making alternating waves with the ropes by rapidly raising and lowering each arm.', 'Continue for the desired duration or number of repetitions.']","Battling ropes is a dynamic exercise that targets the deltoids while also engaging the forearms and core. It involves making rapid, alternating waves with heavy ropes, providing both a strength and cardiovascular challenge.",Advanced,cardio,nan
upper arms,body weight,0129,bench dip (knees bent),triceps,"['chest', 'shoulders']","['Sit on the edge of a bench or chair with your hands gripping the edge next to your hips.', 'Slide your butt off the bench and straighten your legs in front of you, keeping your heels on the ground.', 'Bend your elbows and lower your body towards the ground, keeping your back close to the bench.', 'Pause for a moment at the bottom, then push yourself back up to the starting position.', 'Repeat for the desired number of repetitions.']","The bench dip (knees bent) is a bodyweight exercise that primarily targets the triceps, with secondary emphasis on the chest and shoulders. It is performed using a bench or chair and is suitable for building upper arm strength.",Beginner,strength,nan
upper legs,body weight,0130,bench hip extension,glutes,['hamstrings'],"['Sit on a bench with your back against the bench and your feet flat on the ground.', 'Place your hands on the bench for support.', 'Engage your glutes and hamstrings, then lift your hips off the bench until your body forms a straight line from your knees to your shoulders.', 'Pause for a moment at the top, then slowly lower your hips back down to the starting position.', 'Repeat for the desired number of repetitions.']","The bench hip extension is a bodyweight exercise targeting the glutes and hamstrings. It involves lifting the hips off a bench to form a straight line from knees to shoulders, emphasizing glute activation and hip extension strength.",Beginner,strength,nan
upper arms,body weight,0137,body-up,triceps,"['chest', 'shoulders']","['Start by placing your hands on a raised surface, such as a bench or parallel bars, with your palms facing down and fingers pointing forward.', 'Extend your legs out in front of you, keeping your heels on the ground and your body straight.', 'Lower your body by bending your elbows, keeping them close to your sides, until your upper arms are parallel to the ground.', 'Pause for a moment, then push through your palms to straighten your arms and lift your body back up to the starting position.', 'Repeat for the desired number of repetitions.']","The body-up is a bodyweight exercise targeting the triceps, with secondary emphasis on the chest and shoulders. It involves lowering and raising your body using your arms while keeping your body straight, similar to a triceps dip but with feet on the ground.",Beginner,strength,nan
waist,body weight,0138,bottoms-up,abs,"['obliques', 'hip flexors']","['Lie flat on your back with your legs extended and your arms by your sides.', 'Bend your knees and bring them towards your chest, keeping your feet off the ground.', 'Engaging your abs, lift your hips off the ground, bringing your knees towards your head.', 'Pause for a moment at the top, then slowly lower your hips back down to the starting position.', 'Repeat for the desired number of repetitions.']","The bottoms-up exercise is a bodyweight movement targeting the abdominal muscles. It involves lying on your back, bringing your knees toward your chest, and lifting your hips off the ground to engage your core.",Beginner,strength,nan
upper arms,body weight,0139,biceps narrow pull-ups,biceps,"['forearms', 'shoulders']","['Hang from a pull-up bar with your palms facing towards you and your hands shoulder-width apart.', 'Engage your core and pull yourself up towards the bar, focusing on using your biceps to lift your body.', 'Pause for a moment at the top, then slowly lower yourself back down to the starting position.', 'Repeat for the desired number of repetitions.']","Biceps narrow pull-ups are a bodyweight exercise that primarily targets the biceps, with secondary emphasis on the forearms and shoulders. The movement involves pulling your body up to a bar with a narrow, underhand grip, requiring significant upper body strength and coordination.",Beginner,strength,nan
upper arms,body weight,0140,biceps pull-up,biceps,"['forearms', 'shoulders']","['Hang from a pull-up bar with your palms facing away from you and your hands shoulder-width apart.', 'Engage your core and pull yourself up by bending your elbows, bringing your chest towards the bar.', 'Pause at the top of the movement, then slowly lower yourself back down to the starting position.', 'Repeat for the desired number of repetitions.']","The biceps pull-up is a bodyweight exercise that targets the biceps, with secondary emphasis on the forearms and shoulders. It involves pulling your body up to a bar with an overhand grip, focusing on elbow flexion to maximize biceps engagement.",Beginner,strength,nan
shoulders,cable,0148,cable alternate shoulder press,delts,"['triceps', 'upper back']","['Stand with your feet shoulder-width apart and grasp the handles of the cable machine with an overhand grip.', 'Position your hands at shoulder height, with your palms facing forward.', 'Keep your core engaged and your back straight.', 'Press one handle up and forward until your arm is fully extended.', 'Pause for a moment at the top, then slowly lower the handle back to the starting position.', 'Repeat with the other arm.', 'Alternate between arms for the desired number of repetitions.']","The cable alternate shoulder press is a strength exercise targeting the deltoid muscles. It involves pressing one cable handle overhead at a time, alternating arms, and requires stability and coordination.",Advanced,strength,nan
upper arms,cable,0149,cable alternate triceps extension,triceps,['shoulders'],"['Stand facing the cable machine with your feet shoulder-width apart.', 'Hold the cable handle with your right hand and bring your arm up so that your upper arm is parallel to the ground and your elbow is bent at a 90-degree angle.', 'Keep your upper arm stationary and extend your forearm backward, fully straightening your arm.', 'Pause for a moment, then slowly return to the starting position.', 'Repeat with your left arm.', 'Continue alternating arms for the desired number of repetitions.']","The cable alternate triceps extension is an isolation exercise targeting the triceps using a cable machine. It involves extending the arm at the elbow while keeping the upper arm stationary, alternating between arms.",Advanced,strength,nan
back,cable,0150,cable bar lateral pulldown,lats,"['biceps', 'rhomboids', 'rear deltoids']","['Adjust the cable pulley to a high position and attach a straight bar.', 'Sit facing the cable machine with your feet flat on the ground and your knees slightly bent.', 'Grasp the bar with an overhand grip, slightly wider than shoulder-width apart.', 'Lean back slightly and keep your chest up, maintaining a slight arch in your lower back.', 'Pull the bar down towards your chest, leading with your elbows and squeezing your shoulder blades together.', 'Pause for a moment at the bottom of the movement, then slowly return the bar to the starting position.', 'Repeat for the desired number of repetitions.']","The cable bar lateral pulldown is a strength exercise targeting the latissimus dorsi (lats) using a cable machine and a straight bar attachment. It also engages the biceps, rhomboids, and rear deltoids. The movement involves pulling the bar down towards the chest while maintaining proper posture and control.",Advanced,strength,nan
chest,cable,0151,cable bench press,pectorals,"['triceps', 'shoulders']","['Adjust the cable machine to chest height and attach the handles.', 'Stand facing away from the machine with your feet shoulder-width apart.', 'Grasp the handles with an overhand grip and step forward to create tension in the cables.', 'Position your feet firmly on the ground and engage your core.', 'Bend your elbows and bring your hands to shoulder level, keeping your elbows at a 90-degree angle.', 'Push the handles forward, extending your arms fully in front of you.', 'Pause for a moment, then slowly reverse the movement, bringing your hands back to shoulder level.', 'Repeat for the desired number of repetitions.']",The cable bench press is a chest exercise performed using a cable machine. It targets the pectoral muscles and also works the triceps and shoulders. The movement is similar to a traditional bench press but uses cables for constant tension throughout the range of motion.,Advanced,strength,nan
upper arms,cable,0152,cable concentration extension (on knee),triceps,['forearms'],"['Sit on a bench or chair with your knees bent and feet flat on the ground.', 'Hold the cable handle with your right hand and place your elbow on the inside of your right knee.', 'Extend your arm fully, keeping your elbow stationary and close to your knee.', 'Pause for a moment at the top, then slowly lower your arm back to the starting position.', 'Repeat for the desired number of repetitions, then switch sides.']","The cable concentration extension (on knee) is an isolation exercise targeting the triceps. It is performed seated, using a cable machine, with the working arm's elbow braced against the inside of the knee to stabilize the movement and focus on triceps extension.",Advanced,strength,nan
back,cable,0153,cable cross-over lateral pulldown,lats,"['biceps', 'rhomboids', 'rear deltoids']","['Attach a cable handle to each side of a cable machine at shoulder height.', 'Stand in the middle of the machine with your feet shoulder-width apart.', 'Grasp the handles with an overhand grip and step back to create tension in the cables.', 'Lean forward slightly from the hips, keeping your back straight and your chest up.', 'Pull the handles down and across your body, squeezing your shoulder blades together.', 'Pause for a moment at the bottom of the movement, then slowly return to the starting position.', 'Repeat for the desired number of repetitions.']","The cable cross-over lateral pulldown is a cable machine exercise targeting the latissimus dorsi, with secondary emphasis on the biceps, rhomboids, and rear deltoids. It involves pulling cables down and across the body, requiring coordination and control.",Advanced,strength,nan
shoulders,cable,0154,cable cross-over reverse fly,delts,"['rhomboids', 'trapezius']","['Attach a D-handle to each low pulley cable and stand in the middle of the cable crossover machine.', 'Grasp the handles with a pronated grip (palms facing down) and take a step forward, positioning your feet shoulder-width apart.', 'Bend your knees slightly and lean forward at the waist, keeping your back straight and your abs engaged.', 'With your arms extended out to the sides and slightly bent at the elbows, exhale and squeeze your shoulder blades together as you pull the cables back and upward in a reverse fly motion.', 'Pause for a moment at the peak contraction, then inhale and slowly return to the starting position.', 'Repeat for the desired number of repetitions.']","The cable cross-over reverse fly is an isolation exercise targeting the rear deltoids, with secondary emphasis on the rhomboids and trapezius. It is performed using a cable crossover machine and requires good posture, control, and coordination.",Advanced,strength,nan
chest,cable,0155,cable cross-over variation,pectorals,"['deltoids', 'triceps']","['Adjust the cable pulleys to chest height.', 'Stand in the center of the cable machine with one foot in front of the other.', 'Grasp the handles with your palms facing down and your arms extended out to the sides.', 'Take a step forward, keeping your arms slightly bent.', 'With a slight bend in your elbows, bring your hands together in front of your chest.', 'Pause for a moment, then slowly return your arms back to the starting position.', 'Repeat for the desired number of repetitions.']",The cable cross-over variation is a chest exercise performed using a cable machine. It targets the pectoral muscles and also engages the deltoids and triceps. The movement involves bringing the handles together in front of the chest while maintaining a slight bend in the elbows.,Advanced,strength,nan
upper legs,cable,0157,cable deadlift,glutes,"['hamstrings', 'quadriceps', 'lower back']","['Stand facing the cable machine with your feet shoulder-width apart.', 'Bend at the hips and knees, lowering your torso until your back is parallel to the ground.', 'Grasp the cable handles with an overhand grip, keeping your arms straight and your shoulders back.', 'Engage your glutes and hamstrings to lift the cable handles, extending your hips and standing up straight.', 'Pause for a moment at the top, then slowly lower the cable handles back down to the starting position.', 'Repeat for the desired number of repetitions.']","The cable deadlift is a compound exercise targeting the glutes, with secondary emphasis on the hamstrings, quadriceps, and lower back. It involves lifting a cable from a lowered position by hinging at the hips and extending the body to a standing position.",Advanced,strength,nan
chest,cable,0158,cable decline fly,pectorals,"['shoulders', 'triceps']","['Adjust the cable machine to a decline position.', 'Stand facing away from the machine with your feet shoulder-width apart.', 'Hold the handles with your palms facing forward and your arms extended straight out in front of you.', 'Keeping a slight bend in your elbows, open your arms out to the sides in a controlled motion.', 'Pause for a moment at the fully extended position, then slowly return to the starting position.', 'Repeat for the desired number of repetitions.']",The cable decline fly is an isolation exercise targeting the pectoral muscles using a cable machine set to a decline angle. It emphasizes the lower chest and involves controlled arm movement to stretch and contract the chest muscles.,Advanced,strength,nan
back,cable,0159,cable decline seated wide-grip row,upper back,"['biceps', 'forearms']","['Sit on the decline bench facing the cable machine with your feet securely placed on the footrests.', 'Grasp the cable attachment with a wide overhand grip, palms facing down.', 'Lean back slightly, keeping your back straight and your core engaged.', 'Pull the cable towards your lower chest, squeezing your shoulder blades together.', 'Pause for a moment at the peak of the contraction, then slowly release the cable back to the starting position.', 'Repeat for the desired number of repetitions.']","The cable decline seated wide-grip row is a strength exercise targeting the upper back, performed on a decline bench using a cable machine. It also engages the biceps and forearms as secondary muscles.",Advanced,strength,nan
back,cable,0160,cable floor seated wide-grip row,upper back,"['biceps', 'forearms']","['Sit on the floor with your legs extended and your back straight.', 'Attach a cable handle to a low pulley and position the cable machine behind you.', 'Grasp the handle with a wide overhand grip, palms facing down.', 'Lean back slightly, keeping your back straight and your chest lifted.', 'Pull the handle towards your waist, squeezing your shoulder blades together.', 'Pause for a moment at the top of the movement, then slowly release the handle back to the starting position.', 'Repeat for the desired number of repetitions.']","The cable floor seated wide-grip row is a strength exercise targeting the upper back, performed seated on the floor using a cable machine. It emphasizes scapular retraction and upper back engagement, with secondary activation of the biceps and forearms.",Advanced,strength,nan
shoulders,cable,0161,cable forward raise,delts,"['triceps', 'forearms']","['Stand with your feet shoulder-width apart and your knees slightly bent.', 'Hold the cable handle with an overhand grip, palms facing down, and your arms fully extended in front of you.', 'Keeping your arms straight, raise the cable handle up to shoulder level.', 'Pause for a moment at the top, then slowly lower the cable handle back down to the starting position.', 'Repeat for the desired number of repetitions.']","The cable forward raise is an isolation exercise targeting the deltoid muscles of the shoulders. It involves lifting a cable handle in front of the body to shoulder height, emphasizing shoulder strength and stability.",Advanced,strength,nan
shoulders,cable,0162,cable front raise,delts,"['triceps', 'forearms']","['Stand with your feet shoulder-width apart and grasp the cable handle with an overhand grip.', 'Keep your back straight and your core engaged.', 'Raise the cable handle in front of you, keeping your arms straight and your palms facing down.', 'Continue lifting until your arms are parallel to the floor.', 'Pause for a moment at the top, then slowly lower the cable handle back to the starting position.', 'Repeat for the desired number of repetitions.']","The cable front raise is a shoulder exercise that targets the deltoid muscles, particularly the anterior (front) delts. It involves lifting a cable handle in front of the body to shoulder height, emphasizing controlled movement and muscle engagement.",Advanced,strength,nan
